Segment,Annual Fee,Rewards,Interest Rate,Fees,Credit Limit
Overall,0.279611155,0.133394836,0.243314064,0.146025539,0.197654406
25-40,0.264410289,0.139181998,0.251882952,0.144688798,0.199835962
41+,0.265209442,0.11466091,0.261685587,0.147909676,0.210534385
18-24,0.308089492,0.136428437,0.221385733,0.14672466,0.187371678
South,0.282086422,0.135581965,0.234595647,0.149018947,0.198717019
West,0.287331015,0.125885265,0.253981378,0.141577161,0.19122518
Mid-West,0.265216618,0.136266795,0.247836114,0.15023362,0.200446853
North-East,0.268351394,0.141285071,0.242712406,0.136363698,0.211287431
NonEnrolled,0.270696402,0.1317132,0.250975078,0.147833634,0.198781686
Unknown,0.294355248,0.136176092,0.230643528,0.143035133,0.19579